variable,coefficient,pvalue,std_error,policy,var,lower,upper,r2,grp
P_m,25.846004138939314,0.0,0.9548212389560273,dt,num_visits_wt,23.523768664860434,28.211897426047685,0.6486680270596761,all
rain,-0.06618486338625384,0.26397576710369464,0.05928722116117502,dt,num_visits_wt,-0.18220696214592547,0.049972092366257215,0.6486680270596761,all
fuel_price,55.82946545116347,0.0,3.0083565014251024,dt,num_visits_wt,47.03476328470837,65.15021182967256,0.6486680270596761,all
fuel_price_year,-29.90244587102302,2.7471420381397493e-05,8.84151600722669,dt,num_visits_wt,-40.62729870029093,-17.240297522239658,0.6486680270596761,all
P_m,24.916145466565574,0.0,0.9553113835996552,dt,num_visits_wt,22.609901934383124,27.26576852312428,0.6687507375751724,all_weekday
rain,0.022475926980503047,0.7146017795608659,0.06147488575700688,dt,num_visits_wt,-0.09793015767531887,0.14302713000320377,0.6687507375751724,all_weekday
fuel_price,65.44348206735006,0.0,2.923982810890857,dt,num_visits_wt,56.357100771752286,75.05790030301307,0.6687507375751724,all_weekday
fuel_price_year,-44.9703377729875,2.4730661962735212e-11,9.360919563509196,dt,num_visits_wt,-53.82271167617474,-34.42092780366561,0.6687507375751724,all_weekday
P_m,29.802395911336266,0.0,1.199265979759745,dt,num_visits_wt,26.804674858675483,32.87098447357097,0.651808910600196,all_weekend
rain,-0.6447225059951656,6.661338147750939e-16,0.08020534793098388,dt,num_visits_wt,-0.8007233974845374,-0.48847628733226234,0.651808910600196,all_weekend
fuel_price,31.43718208717967,6.021803056199815e-10,4.515204265744632,dt,num_visits_wt,20.538882792833334,43.32083087836247,0.651808910600196,all_weekend
fuel_price_year,40.9035516904102,0.0002247631884801926,9.739900096653376,dt,num_visits_wt,17.438056516238753,69.05772683854671,0.651808910600196,all_weekend
P_m1,12.939122049851527,0.0,0.8967507427148913,dt,num_visits_wt,10.980141229100738,14.932682082825032,0.6495809240400938,pt_grp
P_m2,18.988322882929776,0.0,0.7665973897971634,dt,num_visits_wt,17.220599649588152,20.78270393442827,0.6495809240400938,pt_grp
P_m3,28.66570179861403,0.0,0.5413673880960035,dt,num_visits_wt,27.31134145097616,30.034470068832487,0.6495809240400938,pt_grp
P_m4,36.61975428406652,0.0,0.7412628958940681,dt,num_visits_wt,34.65644022481238,38.61169379999269,0.6495809240400938,pt_grp
rain,-0.06744075716378362,0.25534380348410446,0.05932797804006906,dt,num_visits_wt,-0.18354108601326136,0.04879461240447913,0.6495809240400938,pt_grp
fuel_price,55.79002961845128,0.0,2.903934490404936,dt,num_visits_wt,47.29005573995559,64.78052918499928,0.6495809240400938,pt_grp
fuel_price_year,-29.131749966045682,3.758211964388636e-05,8.71306135612877,dt,num_visits_wt,-39.83542776899189,-16.523816647588042,0.6495809240400938,pt_grp
P_m1,14.132512010246124,0.0,0.9349851423648081,dt,num_visits_wt,12.069579823096422,16.233417831414055,0.6493075392381736,f_grp
P_m2,22.840046245455525,0.0,1.2543938422339806,dt,num_visits_wt,19.87509522220541,25.878331388307153,0.6493075392381736,f_grp
P_m3,28.73194020493561,0.0,0.8548263102598375,dt,num_visits_wt,26.602109992063895,30.897600600542386,0.6493075392381736,f_grp
P_m4,34.27505147999297,0.0,1.0226595542766725,dt,num_visits_wt,31.623866194756122,36.97963728916105,0.6493075392381736,f_grp
rain,-0.06846043706699723,0.24726447406407326,0.05920744237766229,dt,num_visits_wt,-0.1843239111203654,0.04753752833228653,0.6493075392381736,f_grp
fuel_price,55.59319786887977,0.0,2.997402318290754,dt,num_visits_wt,46.84243465279183,64.86544424509853,0.6493075392381736,f_grp
fuel_price_year,-29.547188605192776,3.6072938200293336e-05,8.847127111121257,dt,num_visits_wt,-40.33242450515531,-16.8124631800879,0.6493075392381736,f_grp
P_m1,21.403383892678107,0.0,1.7304292696040058,dt,num_visits_wt,17.388983322482176,25.55506661220246,0.648619172938535,r_grp
P_m2,24.54891257705407,0.0,1.4477341598269522,dt,num_visits_wt,21.089129197880663,28.107549594948765,0.648619172938535,r_grp
