variable,coefficient,pvalue,std_error,policy,var,lower,upper,r2,grp
P_m11,21.720330909338358,0.0,0.8829041786008629,dt,num_visits_wt,19.641214448499,23.835578107212264,0.5796365929313316,fr_grp_v_thr_3
P_m12,23.871781402521975,0.0,1.572202675007306,dt,num_visits_wt,20.141729875972313,27.71764018775751,0.5796365929313316,fr_grp_v_thr_3
P_m13,22.91053256983666,0.0,1.1232619858488224,dt,num_visits_wt,20.248917962129465,25.63105990989949,0.5796365929313316,fr_grp_v_thr_3
P_m21,23.787611929146223,0.0,2.5999410071301465,dt,num_visits_wt,17.714306543149693,30.17426103176273,0.5796365929313316,fr_grp_v_thr_3
P_m22,4.12446658227128,0.007125183628736931,1.5132963835747137,dt,num_visits_wt,1.1039400552363743,7.235232723069385,0.5796365929313316,fr_grp_v_thr_3
P_m23,23.05471456704462,5.0809811025231966e-08,3.881086727809513,dt,num_visits_wt,14.205585281313905,32.589511623950386,0.5796365929313316,fr_grp_v_thr_3
P_m31,32.557502400884374,0.0,0.7481725034761189,dt,num_visits_wt,30.635003767290826,34.508293612191274,0.5796365929313316,fr_grp_v_thr_3
P_m32,27.626556116004952,0.0,1.6559245898765784,dt,num_visits_wt,23.58370911530967,31.80165850851555,0.5796365929313316,fr_grp_v_thr_3
P_m33,29.721191586845762,0.0,2.4203877028176946,dt,num_visits_wt,23.780983504446972,35.946468272378816,0.5796365929313316,fr_grp_v_thr_3
P_m0,24.03207280582493,0.0,0.6843640737193901,dt,num_visits_wt,22.385094289540742,25.701215281281176,0.5796365929313316,fr_grp_v_thr_3
rain,-0.045590351371915805,0.26581314116529575,0.0409883951471679,dt,num_visits_wt,-0.12584081948047166,0.03472459925828453,0.5796365929313316,fr_grp_v_thr_3
fuel_price,45.76119904650797,0.0,1.4725696610920824,dt,num_visits_wt,41.64419817153562,49.99786381469533,0.5796365929313316,fr_grp_v_thr_3
fuel_price_year,-25.961728357517355,0.00015549378334256403,8.271948531389572,dt,num_visits_wt,-36.64130145336576,-13.482034928931663,0.5796365929313316,fr_grp_v_thr_3
P_m11,21.93821355097598,0.0,1.277945858797258,dt,num_visits_wt,18.940799520650486,25.01116508319654,0.5795468841327496,fr_grp_v_thr_4
P_m12,22.77657686652832,0.0,1.8386962441348187,dt,num_visits_wt,18.469527769628492,27.240211984089747,0.5795468841327496,fr_grp_v_thr_4
P_m13,23.286037230745137,0.0,1.3686821740842792,dt,num_visits_wt,20.044607743233954,26.61499139195911,0.5795468841327496,fr_grp_v_thr_4
P_m21,23.876495864051627,2.551759730184955e-07,4.241960286988289,dt,num_visits_wt,14.18948779664342,34.38527944782912,0.5795468841327496,fr_grp_v_thr_4
P_m22,-3.3345066765423037,0.2427786112368071,2.9459552528320554,dt,num_visits_wt,-8.68172026614925,2.3258172044128056,0.5795468841327496,fr_grp_v_thr_4
P_m23,22.971757603590316,0.0011886663442646217,6.586978247655084,dt,num_visits_wt,8.519115154574997,39.34921185614413,0.5795468841327496,fr_grp_v_thr_4
P_m31,34.03700543370465,0.0,1.3811103406862646,dt,num_visits_wt,30.48155571222364,37.689336455021305,0.5795468841327496,fr_grp_v_thr_4
P_m32,28.794482638083842,0.0,2.685827109158634,dt,num_visits_wt,22.27483416813305,35.66175632839099,0.5795468841327496,fr_grp_v_thr_4
P_m33,30.28670495394341,4.440892098500626e-16,3.3009672213258012,dt,num_visits_wt,22.25201000190742,38.8494593053403,0.5795468841327496,fr_grp_v_thr_4
P_m0,24.0501766949488,0.0,0.6144069148076969,dt,num_visits_wt,22.569819577110085,25.54841306890372,0.5795468841327496,fr_grp_v_thr_4
rain,-0.04548939157829057,0.26613204254251444,0.040924882644421956,dt,num_visits_wt,-0.1256156658718699,0.03470116566306469,0.5795468841327496,fr_grp_v_thr_4
fuel_price,45.77873304289084,0.0,1.4731990433992648,dt,num_visits_wt,41.65951481263688,50.017731147097486,0.5795468841327496,fr_grp_v_thr_4
fuel_price_year,-25.900496319672627,0.00015928153646860288,8.261903846110119,dt,num_visits_wt,-36.57737006563316,-13.426225759591459,0.5795468841327496,fr_grp_v_thr_4
P_m11,20.495313165119544,0.0,1.3559627880777025,dt,num_visits_wt,17.356116816570697,23.718480882030455,0.5794877908169532,fr_grp_v_thr_5
P_m12,17.49838008564084,0.0,1.272642663507595,dt,num_visits_wt,14.621866703159792,20.447081519822554,0.5794877908169532,fr_grp_v_thr_5
P_m13,24.09766956643582,0.0,1.529078039188425,dt,num_visits_wt,20.461036592231263,27.844089902290257,0.5794877908169532,fr_grp_v_thr_5
